date,valid_from,valid_to,source,county_name,zone_name,localities,code,code_name,phenomenon,phenomenon_group,geometry_source,match_confidence,alert_id,message,source_url,source_label
2026-07-01,2026-07-01T16:15:00,2026-07-01T17:15:00,nowcasting,Cluj,Cluj - localitati,Poieni; Mărgău; Săcuieu; Beliș,3,Roșu,"averse torențiale care vor acumula peste 30...35 l/mp, frecvente descărcări electrice. În zona avertizată în ultima oră s-au acumulat cantități de 25...35 l/mp.",ploi/vijelii,uat_match,high,1805bf1c5a43f8f2,"averse torențiale care vor acumula peste 30...35 l/mp, frecvente descărcări electrice. În zona avertizată în ultima oră s-au acumulat cantități de 25...35 l/mp.",,
2026-07-01,2026-07-01T16:17:00,2026-07-01T17:15:00,nowcasting,Brașov,Brașov - localitati,Victoria; Recea; Viștea; Ucea; Lisa; Sâmbăta de Sus; Drăguș,2,Portocaliu,"Averse torențiale care vor acumula 25...40 l/mp, intensificări puternice ale vântului (60...80 km/h), frecvente descărcări electrice, grindină de mici și medii dimensiuni (1...3 cm).",ploi/vijelii,uat_match,high,a71c7905d5bc6ff7,"Averse torențiale care vor acumula 25...40 l/mp, intensificări puternice ale vântului (60...80 km/h), frecvente descărcări electrice, grindină de mici și medii dimensiuni (1...3 cm).",,
2026-07-01,2026-07-01T16:45:00,2026-07-01T17:30:00,nowcasting,Constanța,Constanța - localitati,Ostrov; Băneasa; Lipnița; Oltina; Aliman; Dobromir; Ion Corvin,2,Portocaliu,"Averse torențiale care vor acumula 35...40 l/mp, grindină de mici și medii dimensiuni (1…3 cm), frecvente descărcări electrice, intensificări ale vântului cu viteze de 55...70 km/h.",ploi/vijelii,uat_match,high,210b818f07589225,"Averse torențiale care vor acumula 35...40 l/mp, grindină de mici și medii dimensiuni (1…3 cm), frecvente descărcări electrice, intensificări ale vântului cu viteze de 55...70 km/h.",,
2026-07-01,2026-07-01T17:20:00,2026-07-01T18:30:00,nowcasting,Constanța,Constanța - localitati,Gârliciu; Saraiu,2,Portocaliu,"Averse torențiale care vor acumula 35...40 l/mp, grindină de mici și medii dimensiuni (1…3 cm), frecvente descărcări electrice, intensificări ale vântului cu viteze de 55...70 km/h.",ploi/vijelii,coordGis,high,6ce82991aacce8b9,"Averse torențiale care vor acumula 35...40 l/mp, grindină de mici și medii dimensiuni (1…3 cm), frecvente descărcări electrice, intensificări ale vântului cu viteze de 55...70 km/h.",,
2026-07-01,2026-07-01T17:20:00,2026-07-01T18:30:00,nowcasting,Tulcea,Tulcea - localitati,Topolog; Casimcea; Dăeni; Stejaru; Ciucurova; Dorobanțu; Beidaud,2,Portocaliu,"Averse torențiale care vor acumula 35...40 l/mp, grindină de mici și medii dimensiuni (1…3 cm), frecvente descărcări electrice, intensificări ale vântului cu viteze de 55...70 km/h.",ploi/vijelii,uat_match,high,6ce82991aacce8b9,"Averse torențiale care vor acumula 35...40 l/mp, grindină de mici și medii dimensiuni (1…3 cm), frecvente descărcări electrice, intensificări ale vântului cu viteze de 55...70 km/h.",,
2026-07-01,2026-07-01T19:25:00,2026-07-01T20:30:00,nowcasting,Argeș,Argeș - localitati,Curtea de Argeș; Bascov; Poiana Lacului; Băiculești; Vedea; Mălureni; Merișani; Moșoaia; Budeasa; Cocu; Uda; Ciofrângeni; Băbana; Cuca; Cotmeana; Morărești; Drăganu; Poienarii de Argeș,3,Roșu,"averse torențiale care vor acumula peste 30...40 l/mp, frecvente descărcări electrice. În zona avertizată în ultimele ore s-au acumulat cantități de 40...50 l/mp.",ploi/vijelii,coordGis,high,1198060c3ad3027c,"averse torențiale care vor acumula peste 30...40 l/mp, frecvente descărcări electrice. În zona avertizată în ultimele ore s-au acumulat cantități de 40...50 l/mp.",,
2026-07-02,2026-07-01T23:25:00,2026-07-02T00:10:00,nowcasting,Bistrița-Năsăud,Bistrița-Năsăud - localitati,Teaca; Lechința; Matei; Galații Bistriței; Urmeniș; Budești; Sânmihaiu de Câmpie; Milaș; Miceștii de Câmpie; Silivașu de Câmpie,2,Portocaliu,"Averse torențiale care vor acumula local 25...40 l/mp,  intensificări puternice ale vântului, vijelie (60...80 km/h), frecvente descărcări electrice, grindină de medii dimensiuni (2...4 cm).",ploi/vijelii,coordGis,high,25a2a0a32c2ac24f,"Averse torențiale care vor acumula local 25...40 l/mp,  intensificări puternice ale vântului, vijelie (60...80 km/h), frecvente descărcări electrice, grindină de medii dimensiuni (2...4 cm).",,
2026-07-02,2026-07-02T00:20:00,2026-07-02T01:00:00,nowcasting,Caraș-Severin,Caraș-Severin - localitati,Băile Herculane; Mehadia; Cornereva; Topleț; Iablanița; Cornea,3,Roșu,"averse torențiale care vor acumula peste 25...35 l/mp, frecvente descărcări electrice. În zona avertizată în ultima oră s-au acumulat cantități de 30...40 l/mp.",ploi/vijelii,uat_match,high,5699cf741d30d8ce,"averse torențiale care vor acumula peste 25...35 l/mp, frecvente descărcări electrice. În zona avertizată în ultima oră s-au acumulat cantități de 30...40 l/mp.",,
2026-07-02,2026-07-02T01:00:00,2026-07-02T02:00:00,nowcasting,Constanța,Constanța - localitati,Gârliciu; Saraiu,2,Portocaliu,"Averse torențiale care vor acumula 20...30 l/mp, frecvente descărcări electrice, grindină de mici dimensiuni. În zona avertizată în ultimele ore s-au acumulat cantități de 25...30 l/mp.",ploi/vijelii,coordGis,high,3acb1e11b16893b0,"Averse torențiale care vor acumula 20...30 l/mp, frecvente descărcări electrice, grindină de mici dimensiuni. În zona avertizată în ultimele ore s-au acumulat cantități de 25...30 l/mp.",,
2026-07-02,2026-07-02T01:00:00,2026-07-02T02:00:00,nowcasting,Tulcea,Tulcea - localitati,Casimcea; Dăeni,2,Portocaliu,"Averse torențiale care vor acumula 20...30 l/mp, frecvente descărcări electrice, grindină de mici dimensiuni. În zona avertizată în ultimele ore s-au acumulat cantități de 25...30 l/mp.",ploi/vijelii,uat_match,high,3acb1e11b16893b0,"Averse torențiale care vor acumula 20...30 l/mp, frecvente descărcări electrice, grindină de mici dimensiuni. În zona avertizată în ultimele ore s-au acumulat cantități de 25...30 l/mp.",,
