date,valid_from,valid_to,source,county_name,zone_name,localities,code,code_name,phenomenon,phenomenon_group,geometry_source,match_confidence,alert_id,message,source_url,source_label
2026-08-02,2026-08-02T17:40:00,2026-08-02T19:00:00,nowcasting,Caraș-Severin,Caraș-Severin - localitati,Reșița; Bocșa; Berzovia; Carașova; Lupac; Păltiniș; Măureni; Fârliug; Dognecea; Doclin; Târnova; Forotic; Ramna; Vermeș; Copăcele; Ezeriș; Brebu; Zorlențu Mare; Ocna de Fier,1,Galben,"Averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului (50...60 km/h), grindină de mici dimensiuni (sub1 cm).",ploi/vijelii,coordGis,high,e397fb99a6c2211c,"Averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului (50...60 km/h), grindină de mici dimensiuni (sub1 cm).",,
2026-08-02,2026-08-02T17:40:00,2026-08-02T19:00:00,nowcasting,Timiș,Timiș - localitati,Victor Vlad Delamarina; Știuca,1,Galben,"Averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului (50...60 km/h), grindină de mici dimensiuni (sub1 cm).",ploi/vijelii,uat_match,high,e397fb99a6c2211c,"Averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului (50...60 km/h), grindină de mici dimensiuni (sub1 cm).",,
2026-08-03,2026-08-03T17:00:00,2026-08-03T18:00:00,nowcasting,Bistrița-Năsăud,Bistrița-Năsăud - localitati,Telciu; Târlișua; Spermezeu; Căianu Mic; Zagra; Negrilești; Romuli; Ciceu-Giurgești; Runcu Salvei; Ciceu - Mihăiești,1,Galben,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",ploi/vijelii,uat_match,medium,207c210c094c0401,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",,
2026-08-03,2026-08-03T17:00:00,2026-08-03T18:00:00,nowcasting,Cluj,Cluj - localitati,Cășeiu; Chiuiești,1,Galben,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",ploi/vijelii,uat_match,high,207c210c094c0401,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",,
2026-08-03,2026-08-03T17:00:00,2026-08-03T18:00:00,nowcasting,Maramureș,Maramureș - localitati,Sighetu Marmației; Vișeu de Sus; Târgu Lăpuș; Moisei; Săliștea de Sus; Cavnic; Vișeu de Jos; Bârsana; Ruscova; Rona de Sus; Strâmtura; Ocna Șugatag; Ieud; Suciu de Sus; Cupșeni; Săcel; Cernești; Budești; Bogdan Vodă; Lăpuș; Giulești; Călinești; Rozavlea; Dragomirești; Băiuț; Botiza; Vadu Izei; Desești; Leordina; Șieu; Coroieni; Groșii Țibleșului; Oncești; Poienile Izei,1,Galben,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",ploi/vijelii,coordGis,high,207c210c094c0401,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",,
2026-08-03,2026-08-03T17:00:00,2026-08-03T18:00:00,nowcasting,Sălaj,Sălaj - localitati,Poiana Blenchii,1,Galben,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",ploi/vijelii,uat_match,high,207c210c094c0401,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",,
2026-08-03,2026-08-03T19:00:00,2026-08-03T19:45:00,nowcasting,Bistrița-Năsăud,Bistrița-Năsăud - localitati,Teaca; Șieuț; Urmeniș; Monor; Milaș,1,Galben,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...70 km/h, vijelie, grindină de mici dimensiuni (sub 2 cm).",ploi/vijelii,uat_match,high,55322fd6d8233883,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...70 km/h, vijelie, grindină de mici dimensiuni (sub 2 cm).",,
2026-08-03,2026-08-03T19:00:00,2026-08-03T19:45:00,nowcasting,Maramureș,Maramureș - localitati,Șomcuta Mare; Ulmeni; Mireșu Mare; Satulung; Fărcașa; Remetea Chioarului; Valea Chioarului; Săcălășeni; Gârdani; Sălsig; Coaș; Boiu Mare; Ariniș,1,Galben,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...70 km/h, vijelie, grindină de mici dimensiuni (sub 2 cm).",ploi/vijelii,coordGis,high,55322fd6d8233883,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...70 km/h, vijelie, grindină de mici dimensiuni (sub 2 cm).",,
2026-08-03,2026-08-03T19:00:00,2026-08-03T19:45:00,nowcasting,Sălaj,Sălaj - localitati,Cehu Silvaniei; Someș-Odorhei; Sălățig; Năpradea; Letca; Benesat,1,Galben,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...70 km/h, vijelie, grindină de mici dimensiuni (sub 2 cm).",ploi/vijelii,uat_match,high,55322fd6d8233883,"Local averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...70 km/h, vijelie, grindină de mici dimensiuni (sub 2 cm).",,
2026-08-05,2026-08-05T16:05:00,2026-08-05T16:50:00,nowcasting,Cluj,Cluj - localitati,Mărgău; Beliș,1,Galben,"Averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",ploi/vijelii,coordGis,high,3ce6e8594cdea8e7,"Averse torențiale care vor acumula 15...25 l/mp, descărcări electrice, intensificări ale vântului cu viteze de 50...60 km/h, grindină de mici dimensiuni (sub 2 cm).",,
